preview_id,id,title,agency,category,page_number,page_label,page_count,preview_group,visual_reason,search_status,preview_path,source_url,sha256,coverage_bucket
076_p01,076,FBI Photo B1,FBI,Uncategorized,1,076 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/076.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf,6c47098b047b4cce59129072df1a7eeb5b6602da7ef209fa9dc1299e13622199,image_exhibit_not_text_indexed
077_p01,077,FBI Photo B10,FBI,Uncategorized,1,077 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/077.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b10.pdf,1594af0628fa9ae782b86bb3721ae2c1233a0bf0e03e6b45dd82a9badc642aa8,image_exhibit_not_text_indexed
078_p01,078,FBI Photo B11,FBI,Uncategorized,1,078 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/078.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf,ff3909ff0fa5f99ee6da291d9241b9cd57b24f2889fcead89d8ae37a753d6c1c,image_exhibit_not_text_indexed
079_p01,079,FBI Photo B12,FBI,Uncategorized,1,079 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/079.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf,c440872bb730cae896ce618a3b9d4c4d57553e1910ad218b41c0be01f8801694,image_exhibit_not_text_indexed
080_p01,080,FBI Photo B13,FBI,Uncategorized,1,080 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/080.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf,92555935e35bf99584a41d4433d9b53fd5e9eeff02656e86f7f3456c6f798984,image_exhibit_not_text_indexed
081_p01,081,FBI Photo B14,FBI,Uncategorized,1,081 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/081.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b14.pdf,54f36aa547dd25b7c099a66b2c5f52c951315906a704d6b215cb1651e7dc92f2,image_exhibit_not_text_indexed
082_p01,082,FBI Photo B15,FBI,Uncategorized,1,082 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/082.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf,0c6fe7a96a68e8440cd405bb92519fce639079a00ed6b6193863a39fa5a86c14,image_exhibit_not_text_indexed
083_p01,083,FBI Photo B16,FBI,Uncategorized,1,083 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/083.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf,76bc12588922fca7ef9019f1c809a07e3a159cb1d789013f6acbfcd893935b6a,image_exhibit_not_text_indexed
084_p01,084,FBI Photo B17,FBI,Uncategorized,1,084 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/084.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b17.pdf,60418c8bf9ed18d064ebb7a6e378814ca24438614855b4e626d4375855f57e8d,image_exhibit_not_text_indexed
085_p01,085,FBI Photo B18,FBI,Uncategorized,1,085 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/085.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b18.pdf,5e8801ee956ccb3aed9c605cd9e1d097b2abfd379d3d6e84d4c09a080aa570fd,image_exhibit_not_text_indexed
086_p01,086,FBI Photo B19,FBI,Uncategorized,1,086 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/086.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b19.pdf,29dc410fc55141b34ee1a7bc42f41a1fa388ccba7086a3dba5774aaec27cf8b0,image_exhibit_not_text_indexed
087_p01,087,FBI Photo B2,FBI,Uncategorized,1,087 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/087.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf,e55d5cab5063153c6f2f27314c47b9e4a7f4938f2cefc6bfecf7eb6264b0a07b,image_exhibit_not_text_indexed
088_p01,088,FBI Photo B20,FBI,Uncategorized,1,088 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/088.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf,d5f7a811de98462378fb4b61beeeb107bd2aa58d32b0a0d3a7788e1457b3593f,image_exhibit_not_text_indexed
089_p01,089,FBI Photo B21,FBI,Uncategorized,1,089 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/089.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b21.pdf,52b81ee21a3bfc5ecce1777d6e91d85aabe8bb905dab1963a793dd4787005214,image_exhibit_not_text_indexed
090_p01,090,FBI Photo B22,FBI,Uncategorized,1,090 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/090.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b22.pdf,932c53d8d8031325459c479e54a6c44ea9408faa26344f2a983417ed437d0dc5,image_exhibit_not_text_indexed
091_p01,091,FBI Photo B23,FBI,Uncategorized,1,091 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/091.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b23.pdf,ddd839e52ad4d98986a25a760d0040c475d4c43fb7a52cf4c817aa87f51d9271,image_exhibit_not_text_indexed
092_p01,092,FBI Photo B24,FBI,Uncategorized,1,092 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/092.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b24.pdf,3dab0652bc49b11624234042e65b3340a1146586ed9521f15731517ce042f8e1,image_exhibit_not_text_indexed
093_p01,093,FBI Photo B3,FBI,Uncategorized,1,093 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/093.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf,4a23e128950c1c45cf2f9e32c588088155e63e056d96f09ec94ddaa73ff0cccb,image_exhibit_not_text_indexed
094_p01,094,FBI Photo B4,FBI,Uncategorized,1,094 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/094.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf,d5dd840f008b10fcd88bcab731f07b56fb614aa16048ced9672c9b40a9c9bc69,image_exhibit_not_text_indexed
095_p01,095,FBI Photo B5,FBI,Uncategorized,1,095 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/095.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf,032b86473fefc250def77d3904c381dad010e34390d58de54fd560054127936c,image_exhibit_not_text_indexed
096_p01,096,FBI Photo B6,FBI,Uncategorized,1,096 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/096.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b6.pdf,09444e6501f05a4030120db174a1841e891814464fd7ce6f325178d3c09cdf1a,image_exhibit_not_text_indexed
097_p01,097,FBI Photo B7,FBI,Uncategorized,1,097 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/097.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b7.pdf,4f3122c323c6c0b6ef1bb12cefc623d7488b03fe1c5161f4ea4e111b91347684,image_exhibit_not_text_indexed
098_p01,098,FBI Photo B8,FBI,Uncategorized,1,098 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/098.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf,cae6a62245153fd16acd8c4ff995d19c49fdadf7be152a85c8fe5d714fc3f423,image_exhibit_not_text_indexed
099_p01,099,FBI Photo B9,FBI,Uncategorized,1,099 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/099.jpg,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b9.pdf,e61a49212bb82cfc9a6e7627a2291c9159bbbb2272fb995e45411a48e44eb0b1,image_exhibit_not_text_indexed
112_p01,112,FBI September 2023 Sighting - Composite Sketch,FBI,Uncategorized,1,112 p.1,1,Photo/sketch exhibit,Image-forward photo/sketch exhibit tracked outside keyword search.,Not full-text searchable in this MVP.,assets/image_exhibits/112.jpg,https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf,7768268e837325333be0ea00ce5c00f571de3190e0c390f33e098f183cbf19a5,image_exhibit_not_text_indexed
